Y,X1,X2,X3,X4,X5,X6,X7,X8
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
0.65,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
0.65,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,1.0
6.4,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
1.8,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
1.1,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
3.0,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.5,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
2.6,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
2.5,37.8,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.8,37.8,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
1.1,37.8,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
2.1,37.8,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
0.7,37.8,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
0.5,37.8,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
0.5,37.8,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
0.2,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.9,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.2,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.2,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
1.6,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.3,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.3,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
3.1,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
0.8,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.3,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.3,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
1.1,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.3,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
